Season,DateTime,HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,Full Time Result,Half Time Home Goals,Half Time Away Goals,Half Time Result,Home Team Shoots,Away Team Shoots
2020-21,2020-09-12T12:30:00Z,Fulham,Arsenal,0,3,A,0,1,A,5,13
2020-21,2020-09-12T15:00:00Z,Crystal Palace,Southampton,1,0,H,1,0,H,5,9
2020-21,2020-09-12T17:30:00Z,Liverpool,Leeds,4,3,H,3,2,H,22,6
2020-21,2020-09-12T20:00:00Z,West Ham,Newcastle,0,2,A,0,0,D,15,15
2020-21,2020-09-13T14:00:00Z,West Brom,Leicester,0,3,A,0,0,D,7,13
2020-21,2020-09-13T16:30:00Z,Tottenham,Everton,0,1,A,0,0,D,9,15
2020-21,2020-09-14T20:15:00Z,Brighton,Chelsea,1,3,A,0,1,A,13,10
2020-21,2020-09-14T18:00:00Z,Sheffield United,Wolves,0,2,A,0,2,A,9,11
2020-21,2020-09-19T12:30:00Z,Everton,West Brom,5,2,H,2,1,H,17,6
2020-21,2020-09-19T15:00:00Z,Leeds,Fulham,4,3,H,2,1,H,10,14
2020-21,2020-09-19T17:30:00Z,Man United,Crystal Palace,1,3,A,0,1,A,13,14
2020-21,2020-09-19T20:00:00Z,Arsenal,West Ham,2,1,H,1,1,D,7,14
2020-21,2020-09-20T12:00:00Z,Southampton,Tottenham,2,5,A,1,1,D,14,9
2020-21,2020-09-20T14:00:00Z,Newcastle,Brighton,0,3,A,0,2,A,6,13
2020-21,2020-09-20T16:30:00Z,Chelsea,Liverpool,0,2,A,0,0,D,5,18
2020-21,2020-09-20T19:00:00Z,Leicester,Burnley,4,2,H,1,1,D,14,16
2020-21,2020-09-21T18:00:00Z,Aston Villa,Sheffield United,1,0,H,0,0,D,18,4
2020-21,2020-09-21T20:15:00Z,Wolves,Man City,1,3,A,0,2,A,10,14
2020-21,2020-09-26T12:30:00Z,Brighton,Man United,2,3,A,1,1,D,18,7
2020-21,2020-09-26T15:00:00Z,Crystal Palace,Everton,1,2,A,1,2,A,8,10
2020-21,2020-09-26T17:30:00Z,West Brom,Chelsea,3,3,D,3,0,H,9,22
2020-21,2020-09-26T20:00:00Z,Burnley,Southampton,0,1,A,0,1,A,10,5
2020-21,2020-09-27T12:00:00Z,Sheffield United,Leeds,0,1,A,0,0,D,14,17
2020-21,2020-09-27T14:00:00Z,Tottenham,Newcastle,1,1,D,1,0,H,23,6
2020-21,2020-09-27T16:30:00Z,Man City,Leicester,2,5,A,1,1,D,16,7
2020-21,2020-09-27T19:00:00Z,West Ham,Wolves,4,0,H,1,0,H,15,11
2020-21,2020-09-28T17:45:00Z,Fulham,Aston Villa,0,3,A,0,2,A,16,12
2020-21,2020-09-28T20:00:00Z,Liverpool,Arsenal,3,1,H,2,1,H,21,4
2020-21,2020-10-03T12:30:00Z,Chelsea,Crystal Palace,4,0,H,0,0,D,17,4
2020-21,2020-10-03T15:00:00Z,Everton,Brighton,4,2,H,2,1,H,11,11
2020-21,2020-10-03T17:30:00Z,Leeds,Man City,1,1,D,0,1,A,12,23
2020-21,2020-10-03T20:00:00Z,Newcastle,Burnley,3,1,H,1,0,H,10,7
2020-21,2020-10-04T12:00:00Z,Leicester,West Ham,0,3,A,0,2,A,4,14
2020-21,2020-10-04T12:00:00Z,Southampton,West Brom,2,0,H,1,0,H,13,5
2020-21,2020-10-04T14:00:00Z,Arsenal,Sheffield United,2,1,H,0,0,D,6,6
2020-21,2020-10-04T14:00:00Z,Wolves,Fulham,1,0,H,0,0,D,14,10
2020-21,2020-10-04T16:30:00Z,Man United,Tottenham,1,6,A,1,4,A,5,22
2020-21,2020-10-04T19:15:00Z,Aston Villa,Liverpool,7,2,H,4,1,H,18,14
2020-21,2020-10-17T12:30:00Z,Everton,Liverpool,2,2,D,1,1,D,11,22
2020-21,2020-10-17T15:00:00Z,Chelsea,Southampton,3,3,D,2,1,H,11,13
2020-21,2020-10-17T17:30:00Z,Man City,Arsenal,1,0,H,1,0,H,13,11
2020-21,2020-10-17T20:00:00Z,Newcastle,Man United,1,4,A,1,1,D,7,28
2020-21,2020-10-18T12:00:00Z,Sheffield United,Fulham,1,1,D,0,0,D,10,15
2020-21,2020-10-18T14:00:00Z,Crystal Palace,Brighton,1,1,D,1,0,H,1,20
2020-21,2020-10-18T16:30:00Z,Tottenham,West Ham,3,3,D,3,0,H,11,13
2020-21,2020-10-18T19:15:00Z,Leicester,Aston Villa,0,1,A,0,0,D,11,10
2020-21,2020-10-19T17:30:00Z,West Brom,Burnley,0,0,D,0,0,D,13,9
